r,l,t
-257.446499,1240000,8264.222157
-648.670594,1242000,8279.731461
-373.387409,1244000,8295.029225
-220.180314,1246000,8310.455564
-205.841103,1248000,8325.731046
-175.121394,1250000,8341.02395
-110.351835,1252000,8356.221348
-107.431085,1254000,8371.378362
-94.928247,1256000,8386.693264
-91.166955,1258000,8401.92617
-93.404948,1260000,8417.154728
-67.83689,1262000,8432.478844
-65.550022,1264000,8447.801957
-76.305324,1266000,8463.292429
-95.163432,1268000,8478.712695
-93.47334,1270000,8494.082382
-75.343188,1272000,8509.044435
-129.02668,1274000,8523.890788
-74.403167,1276000,8539.089059
-73.012998,1278000,8554.483123
-86.427765,1280000,8569.808965
-82.182022,1282000,8585.126472
-136.99126,1284000,8600.359476
-80.987982,1286000,8615.666299
-86.962431,1288000,8630.849171
-54.194826,1290000,8646.045785
-66.054967,1292000,8661.439868
-87.835399,1294000,8676.650615
-73.877271,1296000,8691.96194
-75.579455,1298000,8708.366563
-81.973539,1300000,8723.713395
-85.463285,1302000,8739.276182
-72.617262,1304000,8754.734433
-70.734854,1306000,8770.216142
-65.533606,1308000,8785.425588
-53.686746,1310000,8800.39315
-64.06562,1312000,8815.583441
-57.025508,1314000,8830.637178
-73.961541,1316000,8845.443548
-66.450274,1318000,8860.878666
-83.153293,1320000,8876.189948
-72.565935,1322000,8892.285952
-80.986773,1324000,8908.331078
-73.743421,1326000,8927.223267
-137.234024,1328000,8945.124764
